Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Mean,CV Std,Train Time (s)
Logistic Regression,0.918732782369146,0.8664495114006515,0.9366197183098591,0.9001692047377327,0.9743722516092028,0.9483867307929461,0.009740261653556116,0.014544963836669922
Decision Tree,0.8884297520661157,0.8306188925081434,0.897887323943662,0.8629441624365483,0.9604948696705117,0.9091763018348683,0.012212118025998126,0.015208244323730469
Random Forest,0.9146005509641874,0.87,0.9190140845070423,0.8938356164383562,0.9729622076349499,0.9493053462364754,0.010986292877209335,0.31484413146972656
KNN (k=10),0.9077134986225895,0.9617021276595744,0.795774647887324,0.8709055876685935,0.9570693391115926,0.9313494038462787,0.012441522916270216,0.0030689239501953125
XGBoost,0.9256198347107438,0.891156462585034,0.9225352112676056,0.9065743944636678,0.9733286597412529,0.9510991426030856,0.00866223036375112,0.39216113090515137
